OBJECTID,Shape,FOD_ID,FPA_ID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,NWCG_REPORTING_AGENCY,NWCG_REPORTING_UNIT_ID,NWCG_REPORTING_UNIT_NAME,SOURCE_REPORTING_UNIT,SOURCE_REPORTING_UNIT_NAME,LOCAL_FIRE_REPORT_ID,LOCAL_INCIDENT_ID,FIRE_CODE,FIRE_NAME,ICS_209_PLUS_INCIDENT_JOIN_ID,ICS_209_PLUS_COMPLEX_JOIN_ID,MTBS_ID,MTBS_FIRE_NAME,COMPLEX_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,NWCG_CAUSE_CLASSIFICATION,NWCG_GENERAL_CAUSE,NWCG_CAUSE_AGE_CATEGORY,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME
1787270,b'\x00\x01\xad\x10\x00\x00\xd0=\xdc\xef\xbf\x87^\xc0\xa8\xc1\x07\xf8s\x90B@\xd0=\xdc\xef\xbf\x87^\xc0\xa8\xc1\x07\xf8s\x90B@|\x01\x00\x00\x00\xd0=\xdc\xef\xbf\x87^\xc0\xa8\xc1\x07\xf8s\x90B@\xfe',300148827,SFO-2014CACDFCZU006799,NONFED,ST-NASF,ST/C&L,USCACZU,San Mateo-Santa Cruz Unit,CACZU,San Mateo-Santa Cruz Unit,,CZU006799,,BEAR CREEK RD  BOULDER_CR,,,,,,2014,10/17/2014,290,1507.0,Missing data/not specified/undetermined,Missing data/not specified/undetermined,,10/17/2014,290.0,1543.0,0.1,A,37.128544,-122.121103,MISSING/NOT SPECIFIED,CA,SANTA CRUZ,6087.0,Santa Cruz County
1091015,b'\x00\x01\xad\x10\x00\x00\x9cg\xf6\xbdIo^\xc0pq|\xa3\xcc|B@\x9cg\xf6\xbdIo^\xc0pq|\xa3\xcc|B@|\x01\x00\x00\x00\x9cg\xf6\xbdIo^\xc0pq|\xa3\xcc|B@\xfe',1329773,SFO-2004CACDFCZU002838,NONFED,ST-CACDF,ST/C&L,USCACZU,San Mateo-Santa Cruz Unit,CACZU,San Mateo-Santa Cruz Unit,,002838      ,,SMITH                    ,,,,,,2004,4/29/2004,120,1429.0,Human,Debris and open burning,,4/29/2004,120.0,1429.0,3.0,B,36.975,-121.73888888,MISSING/NOT SPECIFIED,CA,SANTA CRUZ,6087.0,Santa Cruz County
1091743,b'\x00\x01\xad\x10\x00\x00\xd0Z\xfcf\x15\x91^\xc0XH\xe3d\xe3\xb0B@\xd0Z\xfcf\x15\x91^\xc0XH\xe3d\xe3\xb0B@|\x01\x00\x00\x00\xd0Z\xfcf\x15\x91^\xc0XH\xe3d\xe3\xb0B@\xfe',1330642,CDF_1995_53_2209_258         ,NONFED,ST-CACDF,ST/C&L,USCACZU,San Mateo-Santa Cruz Unit,CACZU,San Mateo-Santa Cruz Unit,,258         ,,NISSAN                   ,,,,,,1995,7/15/1995,196,,Human,Equipment and vehicle use,,,,,0.5,B,37.38194444,-122.26694444,MISSING/NOT SPECIFIED,CA,,,
1721703,b'\x00\x01\xad\x10\x00\x00D.\xac\xd9R\xbf]\xc0\x107r\r\x8e\xd3B@D.\xac\xd9R\xbf]\xc0\x107r\r\x8e\xd3B@|\x01\x00\x00\x00D.\xac\xd9R\xbf]\xc0\x107r\r\x8e\xd3B@\xfe',300001002,FS-1525112,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,0504,Inyo National Forest,052,1324,JD7Q,SWING,,,,,,2014,9/9/2014,252,1735.0,Human,Misuse of fire by a minor,Minor,9/9/2014,252.0,1800.0,0.1,A,37.65277778,-118.98944444,USFS,CA,Mono,6051.0,Mono County
2269249,b'\x00\x01\xad\x10\x00\x00\xb4U\x02\x8fSQ]\xc0\xb0\xb2\xd7\xa4\xe3\xcc@@\xb4U\x02\x8fSQ]\xc0\xb0\xb2\xd7\xa4\xe3\xcc@@|\x01\x00\x00\x00\xb4U\x02\x8fSQ]\xc0\xb0\xb2\xd7\xa4\xe3\xcc@@\xfe',400612192,SFO-2020CACDFRRU010337,NONFED,ST-NASF,ST/C&L,USCARRU,Riverside Unit,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,RRU010337,,PINK GINGER CT  WILD,,,,,,2020,8/14/2020,227,1747.0,Missing data/not specified/undetermined,Missing data/not specified/undetermined,,,,,1.0,B,33.600702,-117.270737,MISSING/NOT SPECIFIED,CA,RIVERSIDE,6065.0,Riverside County
92310,"b""\x00\x01\xad\x10\x00\x00\x08\x8am\xf2\xbe\x88]\xc0\xf8\x1b~\x88\xe4'A@\x08\x8am\xf2\xbe\x88]\xc0\xf8\x1b~\x88\xe4'A@|\x01\x00\x00\x00\x08\x8am\xf2\xbe\x88]\xc0\xf8\x1b~\x88\xe4'A@\xfe""",93345,FS-318195,FED,FS-FIRESTAT,FS,USCAANF,Angeles National Forest,0501,Angeles National Forest,154,,,SHOENING,,,,,,1996,7/22/1996,204,350.0,Human,Arson/incendiarism,,7/22/1996,204.0,445.0,0.1,A,34.31166667,-118.13666667,USFS,CA,,,
1073064,b'\x00\x01\xad\x10\x00\x004\xf0;7\xc1\xca]\xc0\xb04\xb4d\xc2eB@4\xf0;7\xc1\xca]\xc0\xb04\xb4d\xc2eB@|\x01\x00\x00\x004\xf0;7\xc1\xca]\xc0\xb04\xb4d\xc2eB@\xfe',1309079,CDF_1999_56_2230_129         ,NONFED,ST-CACDF,ST/C&L,USCAFKU,Fresno-Kings Unit,CAFKU,CDF - Fresno-Kings Unit,,129         ,,DEER                     ,,,,,,1999,7/9/1999,190,,Human,Equipment and vehicle use,,,,,3.0,B,36.795,-119.16805555,MISSING/NOT SPECIFIED,CA,,,
1074817,b'\x00\x01\xad\x10\x00\x00\x90\xaa\x9a\xde\xad\x17^\xc0@\x12\xac\xcd\xe6\xa5B@\x90\xaa\x9a\xde\xad\x17^\xc0@\x12\xac\xcd\xe6\xa5B@|\x01\x00\x00\x00\x90\xaa\x9a\xde\xad\x17^\xc0@\x12\xac\xcd\xe6\xa5B@\xfe',1311159,SFO-2003CACDFMMU016827,NONFED,ST-CACDF,ST/C&L,USCAMMU,Merced-Mariposa Unit,CAMMU,CDF - Merced-Mariposa Unit,,016827      ,,HAYDEN                   ,,,,,,2003,9/16/2003,259,1920.0,Human,Missing data/not specified/undetermined,,9/16/2003,259.0,1948.0,5.0,B,37.29611111,-120.37,MISSING/NOT SPECIFIED,CA,MERCED,6047.0,Merced County
2221977,b'\x00\x01\xad\x10\x00\x00\xf8\xec\x16\x07\x8b\xbd]\xc0H\x19=\xc6\xfb\xb1A@\xf8\xec\x16\x07\x8b\xbd]\xc0H\x19=\xc6\xfb\xb1A@|\x01\x00\x00\x00\xf8\xec\x16\x07\x8b\xbd]\xc0H\x19=\xc6\xfb\xb1A@\xfe',400558623,SFO-2019CACDFKRN192394,NONFED,ST-NASF,ST/C&L,USCAKRN,Kern County Fire Department,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,KRN192394,,,,,,,,2019,7/22/2019,203,351.0,Human,Arson/incendiarism,,,,,0.1,A,35.390501,-118.961623,MISSING/NOT SPECIFIED,CA,KERN,6029.0,Kern County
2139896,"b""\x00\x01\xad\x10\x00\x00@e\x0b'\xbau^\xc0H\xf3\xbf\xb0\x8a\xfdB@@e\x0b'\xbau^\xc0H\xf3\xbf\xb0\x8a\xfdB@|\x01\x00\x00\x00@e\x0b'\xbau^\xc0H\xf3\xbf\xb0\x8a\xfdB@\xfe""",400428638,SFO-2010-CACDFTCU004690,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,TCU004690,,,,,,,,2010,7/11/2010,192,2001.0,Human,Arson/incendiarism,,,,,0.2,A,37.9808,-121.8395,MISSING/NOT SPECIFIED,CA,CONTRA COSTA,6013.0,Contra Costa County
